"","Name_on_tree_tip","Revised.latitude","Revised.longitude"
"1","L52_Lunda",-11,26
"2","S44_Ndebele",-20,28
"3","JE15_Luganda",1,32
"4","M54_Lamba",-13,28
"5","JD62_Rundi",-3,30
"6","H32_Suku",-6,18
"7","Tiv_Tivoid",7,9
"8","H16a_Kisikongo_2013",-7,15
"9","D55_Buyu",-7,28
"10","N12_Ngoni",-12,33
"11","E73_Digo",-4,39
"12","JE23_Zinza",-3,31
"13","E72a_Giryama",-3,40
"14","F32_Nyaturuwil",-5,34
"15","M11_Pimbwe",-7,31
"16","K21_Lozi",-15,23
"17","B85_Yanzi",-4,18
"18","D24_Songola",-4,26
"19","B31_Tsogo",-1,12
"20","E71A_Upper_Pokomo",-1,40
"21","C71_Tetela",-4,25
"22","C36d_Lingala",1,18
"23","A32C_Batanga",2,10
"24","G62_Hehe",-8,35
"25","K11_Ciokwe",-10,21
"26","P31_Emakhua",-15,39
"27","A75a_Fang_Bitam",1,11
"28","B84_Mbunda",-5,19
"29","D311_Bila",1,29
"30","JE31_Lumasaaba",1,34
"31","L41_Kaonde",-13,26
"32","N42_Kunda",-15,32
"33","D23_Kibira-Kumu_1919",-1,27
"34","C83_Bushong",-5,22
"35","D21_Baali",1,27
"36","JE12_Rutooro",1,31
"37","F33_Langi",-5,36
"38","D32_Bira",1,30
"39","JE42_Gusii",-1,35
"40","C37_Ebudza",3,23
"41","L23_Songe",-6,25
"42","H321_Soonde",-7,19
"43","C41_Ngombe",2,20
"44","L35_Sanga",-11,28
"45","A87_Bomwali",2,16
"46","P21_Yao",-13,36
"47","A22_Bakweri",4.22,9.27
"48","S21_Venda",-23,30
"49","C61E_Konda",-2,18
"50","B25_Kota",1,14
"51","A81_Kwasio",3,11
"52","B85d_Nsongo",-5,18
"53","F21_Sukuma",-3,34
"54","S31_Tswana",-24,27
"55","L11_Pende",-6,20
"56","S53_Tsonga",-24,32
"57","A122_Bakundu",10,9
"58","B11a_Mpongwe",-2,10
"59","M13_Fipa",-8,31
"60","P23_Simakonde",-11,40
"61","A53_Bafia_rikpa",5,11
"62","R11_Umbundu",-12,16
"63","Mungaka_Grassfields",6,10
"64","JD53_Shi",-2,29
"65","K14_Lwena",-12,22
"66","R31_Herero",-21,16
"67","Fefe_Grassfields",5,10
"68","A24_Duala",4,10
"69","Bamun_Grassfields",6,11
"70","JD66_Kiha",-5,30
"71","S42_Zulu",-29,31
"72","G63_Bena",-9,36
"73","E46_Sonjo",-3,36
"74","H16c_Yombe",-5,13
"75","H31_Yaka",-7,17
"76","G32_Kwere",-7,39
"77","Kom_Grassfields",6,10
"78","JE11_Runyoro",2,32
"79","E55_Kamba",-2,38
"80","JE22_Haya",-1,32
"81","G22_Asu",-4,38
"82","N21_Tumbuka_Malawi",-12,34
"83","M52_Lala",-15,31
"84","G31_Zigua",-5.84,38.79
"85","N11_Manda",-13,35
"86","Moghamo_Grassfields",6,10
"87","G35_Luguru",-8,38
"88","E53_Meru",0,35
"89","L31a_Luba-Kasai",-8,26
"90","H41_Mbala",-5,18
"91","S11_Shona",-19,31
"92","G61_Sangu",-8,34
"93","JE24_Kerebe",-3,33
"94","E51_Kikuyu",-1,37
"95","E622A_Kimochi",-3,37
"96","B86_Dinga",-4,20
"97","G11_Gogo",-7,36
"98","JE31c_Bukusu",1,35
"99","JE16_Lusoga",1,33
"100","H131_Kisundi_Congo_Kimongo_1988",-5,14
"101","F12_Bende",-7,31
"102","M64_Tonga",-12,34
"103","G34_Nguungulu",-6,38
"104","C34_Sakata",-3,18
"105","D211_Kango",2,28
"106","G12_Kagulu",-6,37
"107","M25_Safwa",-8,33
"108","M41_Taabwa",-10,28
"109","F23_Sumbwa",-4,32
